id;type_channel;channel_id;ext_num;agent_name;external_id;call_date;status;data;report_data;phone;session_id;region;tz;operator;update_at;next_call_date;company_id;server;attempts_count;priority;last_phone;last_status
180985162;out;NULL;NULL;33-08sl;2;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;73gty4pgxw;NULL;3;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;1;0;NULL;success
180985163;out;NULL;NULL;33-08sl;3;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;9nz1tkpt5d;NULL;7;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;5;0;NULL;down
180985164;out;NULL;NULL;33-08sl;4;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;iel1yqrjbx;NULL;7;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;5;0;NULL;down
180985165;out;NULL;NULL;33-08sl;5;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;mhyxg694g7;NULL;7;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;2;0;NULL;success
180985166;out;NULL;NULL;33-08sl;6;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;kyxa50kf8q;NULL;7;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;5;0;NULL;down
180985167;out;NULL;NULL;33-08sl;7;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;fe5fjibpt9;NULL;3;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;1;0;NULL;success
180985168;out;NULL;NULL;33-08sl;8;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;n632f0xhas;NULL;4;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;1;0;NULL;success
180985169;out;NULL;NULL;33-08sl;9;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;l39ywbw4ew;NULL;4;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;1;0;NULL;success
180985170;out;NULL;NULL;33-08sl;10;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;t0rznnra3p;NULL;4;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;2;1;NULL;request_recall
180985171;out;NULL;NULL;33-08sl;11;25.03.2023 0:00;stop;"{""category"":""1"",""cl"":""grdt5"",""trunc"":""43"",""status"":""call"",""down"":""20"",""cps"":""0.1"",""channels"":10}";{};79000000000;y3sf92qzdx;NULL;5;NULL;25.03.2023 0:00;25.03.2023 0:00;24461;33-08;5;0;NULL;answering_machine
